county,grades,students,teachers,calworks,lunch,computer,expenditure,income,english,read,math,average_score,lat,lng,normalized_average_score
Alameda,KK-08,195,10,0.51,2.04,67,6384.91,22.69,0,691.6,690,690.8,37.5894,-121.8854,0.842391304
Butte,KK-08,240,11,15.42,47.92,101,5099.38,9.82,4.58,660.5,661.9,661.2,40.0871,-121.537,0.549901186
Butte,KK-08,1550,82,55.03,76.32,169,5501.95,8.98,30,636.3,650.9,643.6,40.0871,-121.537,0.375988142
Butte,KK-08,243,14,36.48,77.05,85,7101.83,8.98,0,651.9,643.5,647.7,40.0871,-121.537,0.416501976
Butte,KK-08,1335,71,33.11,78.43,171,5235.99,9.08,13.86,641.8,639.9,640.85,40.0871,-121.537,0.348814229
Fresno,KK-08,137,6,12.32,86.96,25,5580.15,10.41,12.41,605.7,605.4,605.55,36.4042,-120.1341,0
San Joaquin,KK-08,195,10,12.9,94.62,28,5253.33,6.58,68.72,604.5,609,606.75,37.9299,-121.0043,0.011857708
Kern,KK-08,888,42,18.81,100,66,4565.75,8.17,46.96,605.5,612.5,609,35.1779,-119.5472,0.034090909
Fresno,KK-08,379,19,32.19,93.14,35,5355.55,7.39,30.08,608.9,616.1,612.5,36.4042,-120.1341,0.068675889
Sacramento,KK-06,2247,108,78.99,87.32,0,5036.21,11.61,40.28,611.9,613.4,612.65,38.4636,-121.5022,0.070158103
Merced,KK-08,446,21,18.61,85.87,86,4547.69,8.93,52.91,612.8,618.7,615.75,37.2965,-120.3789,0.100790514
Fresno,KK-08,987,47,71.71,98.61,56,5447.35,7.39,54.61,616.6,616,616.3,36.4042,-120.1341,0.106225296
Tulare,KK-08,103,5,22.43,98.13,25,6567.15,5.34,42.72,612.8,619.8,616.3,35.8114,-118.6364,0.106225296
Tulare,KK-08,487,24,24.61,77.15,0,4818.61,8.28,20.53,610,622.6,616.3,35.8114,-118.6364,0.106225296
Tulare,KK-08,649,36,14.64,76.27,31,5621.46,9.63,80.12,611.9,621,616.45,35.8114,-118.6364,0.10770751
Tulare,KK-08,852,42,24.21,94.3,80,6026.36,7.45,49.41,614.8,619.9,617.35,35.8114,-118.6364,0.116600791
Kern,KK-08,491,28,11.2,97.76,100,6723.24,6.22,85.54,611.7,624.4,618.05,35.1779,-119.5472,0.123517787
Kern,KK-08,421,25,8.55,77.91,50,5589.89,7.76,58.91,614.9,621.7,618.3,35.1779,-119.5472,0.125988142
Los Angeles,KK-08,6880,303,21.28,94.97,960,5064.62,7.02,77.01,619.1,620.5,619.8,34.0019,-118.2106,0.140810277
Kern,KK-08,2688,135,23.44,93.23,139,5433.59,5.7,49.81,621.3,619.3,620.3,35.1779,-119.5472,0.145750988
Imperial,KK-08,440,24,34.77,100,69,5725.56,7.94,40.68,615.6,625.4,620.5,33.4279,-114.7273,0.147727273
Tulare,KK-08,475,21,21.65,91.55,53,4542.1,9.63,16.21,619.9,622.9,621.4,35.8114,-118.6364,0.156620553
Kern,KK-08,2538,130,18.91,70.82,169,5107.09,7.41,45.07,622.9,620.6,621.75,35.1779,-119.5472,0.160079051
Tulare,KK-08,476,19,43.86,100,0,4659.66,9.63,39.08,620.7,623.4,622.05,35.8114,-118.6364,0.163043478
Merced,KK-08,2357,114,16.8,90.62,216,4555.46,8.02,76.67,619.5,625.7,622.6,37.2965,-120.3789,0.168478261
Tulare,KK-08,1588,85,22.41,85.15,198,5415.15,8.52,40.49,625,621.2,623.1,35.8114,-118.6364,0.173418972
Monterey,KK-06,7306,319,17,88.03,742,4997.87,7.98,73.72,620.4,626,623.2,36.8019,-121.7872,0.174407115
Kern,KK-08,2601,135,15.07,92.2,269,5223.91,7.3,70.01,616.5,630.4,623.45,35.1779,-119.5472,0.17687747
Tulare,KK-08,847,44,16.29,90.2,67,5139.16,8.93,55.96,620.1,627.1,623.6,35.8114,-118.6364,0.178359684
Tulare,KK-08,452,22,14.5,81.02,55,4614.25,8.55,11.06,627.9,620.4,624.15,35.8114,-118.6364,0.183794466
San Diego,KK-08,4142,201,35.56,81.51,569,5342.23,6.61,80.42,620.4,628.7,624.55,32.8711,-116.4247,0.187747036
Monterey,KK-08,2102,99,15.32,90.28,224,5347.46,12.41,63.13,623,626.9,624.95,36.8019,-121.7872,0.191699605
Los Angeles,KK-08,10012,464,29.76,91.59,721,5036.46,8.13,65.12,620.8,629.8,625.3,34.0019,-118.2106,0.195158103
Monterey,KK-08,2488,125,12.69,55.09,202,5117.14,11.43,53.42,626.1,625.6,625.85,36.8019,-121.7872,0.200592885
San Bernardino,KK-08,25151,1186,17.44,80.2,1713,5117.04,11.72,49.82,625.4,626.8,626.1,34.176,-114.264,0.203063241
Los Angeles,KK-08,2267,103,19.15,84.43,177,5272.19,11.33,35.47,625.4,628.2,626.8,34.0019,-118.2106,0.209980237
Merced,KK-08,1657,90,28.85,84.73,204,5225.72,9.6,56.13,623.6,630.2,626.9,37.2965,-120.3789,0.210968379
Fresno,KK-08,284,17,14.53,94.93,18,6516.53,14.56,32.39,628.9,625.3,627.1,36.4042,-120.1341,0.212944664
San Mateo,KK-08,5370,280,19.57,81.12,562,4559.18,22.06,65.51,624.4,630.1,627.25,37.2658,-122.3007,0.214426877
Kern,KK-08,2471,121,23.8,87.78,275,5119.16,9.71,53.06,627.5,627.1,627.3,35.1779,-119.5472,0.214920949
Ventura,KK-08,15386,669,12.51,71.43,1762,5338.19,11.48,49.64,627.8,628.7,628.25,34.258,-118.6662,0.2243083
Merced,KK-08,184,9,22.28,85.87,40,5090.04,8.18,45.11,621.6,635.2,628.4,37.2965,-120.3789,0.225790514
Kern,KK-08,1217,61,33.91,88.1,78,5485.5,8.17,30.32,629.4,627.7,628.55,35.1779,-119.5472,0.227272727
Kern,KK-08,6219,268,21.5,100,571,4793.37,7.5,52.24,621.1,636.2,628.65,35.1779,-119.5472,0.22826087
Riverside,KK-06,4258,221,24.66,92.74,324,5092.92,10.05,36.8,626.5,631,628.75,38.4464,-122.1945,0.229249012
Los Angeles,KK-08,1235,53,8.22,62.13,175,4359.52,7.33,30.28,630.2,629.4,629.8,34.0019,-118.2106,0.239624506
Santa Clara,KK-08,16244,766,17.45,69.74,1423,5645.5,12.58,49.86,629.5,631.2,630.35,37.3116,-121.9357,0.245059289
Kern,KK-08,814,39,19.78,67.44,85,4518.02,15.18,13.76,631.9,628.9,630.4,35.1779,-119.5472,0.24555336
Kern,KK-08,27176,1429,39.22,84.29,3324,5864.37,12.11,28.86,631.6,629.5,630.55,35.1779,-119.5472,0.247035573
Santa Clara,KK-08,10696,487,22.16,70.9,1306,5258,11.78,52.8,628.5,632.6,630.55,37.3116,-121.9357,0.247035573
Los Angeles,KK-08,8935,444,36.95,79.51,786,5016.69,14.06,44.09,628.4,633.7,631.05,34.0019,-118.2106,0.251976285
Madera,KK-08,1600,74,27.26,79.73,242,4720.09,10.47,35.25,635.7,627.1,631.4,36.8799,-120.1147,0.255434783
Monterey,KK-06,9028,449,13.99,69.94,669,5470.56,13.41,37.49,633,630.7,631.85,36.8019,-121.7872,0.259881423
Santa Barbara,KK-08,10625,521,7.5,77.53,896,5615.44,12.3,50.39,629.6,634.2,631.9,34.9312,-119.6148,0.260375494
Los Angeles,KK-08,7151,318,18.55,61.74,560,5245.44,15.4,31.07,634.2,629.7,631.95,34.0019,-118.2106,0.260869565
Los Angeles,KK-08,2404,105,20.93,52.94,202,4838.18,13.76,18.26,633.5,630.5,632,34.0019,-118.2106,0.261363636
Los Angeles,KK-08,5804,283,28.34,81.12,480,5367.99,14.18,34.7,631.4,633,632.2,34.0019,-118.2106,0.263339921
Sacramento,KK-06,2253,112,43.5,84.55,196,5526.24,8.86,33.29,637.5,627,632.25,38.4636,-121.5022,0.263833992
Monterey,KK-08,2807,126,15.46,52.4,152,4353.02,13,33.49,637.3,627.6,632.45,36.8019,-121.7872,0.265810277
Ventura,KK-08,3074,142,11.29,66.19,249,5034.29,11.59,38.16,633.2,632.5,632.85,34.258,-118.6662,0.269762846
Tulare,KK-08,723,37,25.92,83.16,45,4692.49,8.28,36.93,629.2,636.7,632.95,35.8114,-118.6364,0.270750988
Sacramento,KK-06,5138,290,58.75,85,560,5606.78,10.91,32.99,630.3,635.8,633.05,38.4636,-121.5022,0.27173913
Orange,KK-06,20927,953,10.91,82.39,1048,4969.18,13.4,58.22,629.6,636.7,633.15,33.818,-117.8104,0.272727273
Kings,KK-08,3017,138,14.98,56.06,496,4675.67,11.08,17,634.4,632.9,633.65,36.4026,-119.7208,0.277667984
Kings,KK-08,957,50,27.17,82.13,149,5306.13,9.08,17.66,634.7,633.1,633.9,36.4026,-119.7208,0.28013834
Kern,KK-08,1639,90,46.89,80.6,287,5693.88,13.39,7.32,638.4,629.6,634,35.1779,-119.5472,0.281126482
Los Angeles,KK-08,4340,209,17.7,93.92,284,5181.58,14.6,31.2,631.9,636.2,634.05,34.0019,-118.2106,0.281620553
Kings,KK-08,5079,224,25.56,63.8,585,5228.65,11.12,16.62,637.7,630.5,634.1,36.4026,-119.7208,0.282114625
San Diego,KK-06,6639,304,26.84,100,505,5339.39,8.42,58.08,631.5,636.7,634.1,32.8711,-116.4247,0.282114625
Sonoma,KK-06,1154,62,22.93,84.92,129,6056.5,11.66,55.89,636.8,631.5,634.15,38.3463,-123.0595,0.282608696
Kern,KK-08,237,11,19.83,76.79,13,4845.68,7.3,5.49,631.8,636.6,634.2,35.1779,-119.5472,0.283102767
Los Angeles,KK-08,2987,141,21.26,68.4,273,4826.67,13.73,14.43,637.7,631.1,634.4,34.0019,-118.2106,0.285079051
Kings,KK-08,499,30,40.37,83.12,94,5367.09,11.12,22.85,635.5,633.6,634.55,36.4026,-119.7208,0.286561265
Merced,KK-08,11474,542,40.55,77.01,1248,5742.73,10.36,38.78,633.2,636.2,634.7,37.2965,-120.3789,0.288043478
Santa Barbara,KK-08,1088,55,14.15,86.03,107,4136.25,6.98,64.25,631.1,638.7,634.9,34.9312,-119.6148,0.290019763
San Bernardino,KK-08,2660,140,15.76,74.85,259,5267.83,14.47,25.23,637.8,632.1,634.95,34.176,-114.264,0.290513834
Contra Costa,KK-08,353,19,8.67,33.06,8,5238.39,14.65,5.38,636.6,633.5,635.05,38.0446,-122.185,0.291501976
Humboldt,KK-08,329,18,28.92,85.54,37,5462.9,10.63,6.08,644.3,626.1,635.2,40.3987,-123.9474,0.29298419
Siskiyou,KK-08,252,16,23.46,66.26,32,6313.37,9.78,0,640.9,630,635.45,41.5815,-121.9151,0.295454545
Siskiyou,KK-08,175,12,21.76,68.82,31,6653.03,10.66,0,634.6,636.6,635.6,41.5815,-121.9151,0.296936759
Ventura,KK-08,3835,186,13.99,72.86,897,5533.15,11.94,34.89,633,638.2,635.6,34.258,-118.6662,0.296936759
Fresno,KK-08,314,19,29.94,93.63,8,6118.71,7.39,13.06,636.7,634.8,635.75,36.4042,-120.1341,0.298418972
Merced,KK-08,4458,211,22.22,72.32,445,5098.63,10.68,36.03,633.2,638.7,635.95,37.2965,-120.3789,0.300395257
Merced,KK-08,1313,75,32.09,73.6,112,5652.88,9.97,34.65,633.9,638.3,636.1,37.2965,-120.3789,0.30187747
Fresno,KK-08,474,26,21.52,75.74,36,5329,8.26,28.69,634.7,638.3,636.5,36.4042,-120.1341,0.30583004
San Bernardino,KK-08,1114,57,29.45,62.21,277,5929.81,8.9,1.8,645.4,627.8,636.6,34.176,-114.264,0.306818182
Riverside,KK-06,1358,65,14.79,80.87,178,4897.07,12.06,30.63,632.3,641.1,636.7,38.4464,-122.1945,0.307806324
Los Angeles,KK-08,11629,546,25.38,83.87,1015,5100.2,9.43,59.03,632.4,641.4,636.9,34.0019,-118.2106,0.309782609
Kern,KK-08,6195,306,21.04,68.57,1261,4825.72,8.92,13.56,636.2,637.7,636.95,35.1779,-119.5472,0.31027668
Tulare,KK-08,499,20,23.7,80.92,35,4079.13,10.1,5.01,636.1,637.9,637,35.8114,-118.6364,0.310770751
Sacramento,KK-08,417,23,19.9,46.04,27,5349.37,11.83,0.96,638,636.2,637.1,38.4636,-121.5022,0.311758893
Lake,KK-08,300,15,48.34,72.19,55,5869.39,11.55,0.67,640.9,633.8,637.35,38.7518,-122.6221,0.314229249
Santa Clara,KK-08,457,24,16.82,67.71,50,6462.13,19.71,38.51,644.9,630.4,637.65,37.3116,-121.9357,0.317193676
Butte,KK-08,146,8,25.34,54.11,34,6231.6,7.11,0,646.1,629.8,637.95,40.0871,-121.537,0.320158103
San Mateo,KK-08,460,24,10.59,66.95,71,4993.87,13.73,17.17,633.2,642.7,637.95,37.2658,-122.3007,0.320158103
Tulare,KK-08,354,17,10.28,59.72,28,4663.81,10.1,9.89,636.7,639.3,638,35.8114,-118.6364,0.320652174
Los Angeles,KK-08,1841,95,25.26,64.75,315,6107.11,13.76,19.39,640.4,636,638.2,34.0019,-118.2106,0.322628458
Imperial,KK-08,3760,183,26.9,65.8,717,5324.23,9.66,36.49,636.2,640.4,638.3,33.4279,-114.7273,0.323616601
Imperial,KK-08,500,22,18.8,83,70,5221.46,10.26,39.4,630.4,646.2,638.3,33.4279,-114.7273,0.323616601
Los Angeles,KK-08,5112,246,10.69,59.72,383,5157.78,11.57,28.68,638.6,638.1,638.35,34.0019,-118.2106,0.324110672
Kern,KK-08,146,7,13.7,66.44,28,5131.12,7.41,13.7,637.5,639.6,638.55,35.1779,-119.5472,0.326086957
Kern,KK-08,2141,105,26.5,65.38,134,5279.35,12.08,11.35,636.9,640.5,638.7,35.1779,-119.5472,0.32756917
Sutter,KK-08,610,30,8.52,56.07,144,4704.04,11.28,3.44,640.3,638.2,639.25,38.8981,-121.5729,0.333003953
Mendocino,KK-08,337,16,21.26,60.13,26,6089.91,10.03,15.43,642.7,635.9,639.3,39.8635,-123.7253,0.333498024
San Bernardino,KK-08,4501,227,19.13,63.91,597,5356.83,8.38,17.97,639.9,638.8,639.35,34.176,-114.264,0.333992095
San Benito,KK-08,5718,295,6.84,37.05,313,5144.55,13.63,22.72,641.4,637.6,639.5,36.7904,-121.3105,0.335474308
Los Angeles,KK-08,19402,846,20.52,51.24,1182,4906.23,14.13,18.44,641.7,637.8,639.75,34.0019,-118.2106,0.337944664
Butte,KK-08,3401,175,52.22,74.27,560,5489.59,11.27,16.17,641.5,638.1,639.8,40.0871,-121.537,0.338438735
Kern,KK-08,2621,136,25.83,64.1,397,5718.55,13.39,2.02,641.4,638.3,639.85,35.1779,-119.5472,0.338932806
Ventura,KK-08,426,20,3.99,64.79,87,4436.15,11.94,9.62,634.3,645.5,639.9,34.258,-118.6662,0.339426877
Fresno,KK-08,205,11,18.54,80.98,24,4895.44,8.26,41.46,643.5,636.7,640.1,36.4042,-120.1341,0.341403162
Los Angeles,KK-08,13668,648,28.18,56.3,1321,5159.22,14.23,9.9,640.4,639.9,640.15,34.0019,-118.2106,0.341897233
Madera,KK-08,342,18,11.4,68.09,98,5490.65,10.47,16.08,637.7,643.3,640.5,36.8799,-120.1147,0.345355731
Orange,KK-06,6518,332,12.28,71.02,499,5172.02,14.24,43.49,638.5,643,640.75,33.818,-117.8104,0.347826087
Tulare,KK-08,239,12,15.61,69.62,30,4441.67,14.07,8.79,644.9,636.9,640.9,35.8114,-118.6364,0.3493083
Santa Clara,KK-08,2911,139,11.93,52.97,281,5220.37,15.97,39.02,640.4,641.8,641.1,37.3116,-121.9357,0.351284585
Imperial,KK-08,6272,297,28.72,71.76,1338,5252.81,10.26,53.89,639.3,643.6,641.45,33.4279,-114.7273,0.354743083
San Diego,KK-06,10218,508,17.42,70.81,1435,5518.7,10.6,41.13,638.6,644.3,641.45,32.8711,-116.4247,0.354743083
Shasta,KK-08,1735,87,47.26,75.5,222,5609.49,10.52,1.38,640.8,642.3,641.55,40.6722,-121.4228,0.355731225
Tulare,KK-08,474,26,20.68,82.07,96,4945.03,11.24,35.44,638.9,644.7,641.8,35.8114,-118.6364,0.358201581
Tehama,KK-08,544,30,20.55,74.86,145,5223.03,10.06,8.64,641.8,642.6,642.2,40.3409,-121.9174,0.36215415
Tulare,KK-08,1987,103,15.28,54.65,283,4757.03,11.18,15.35,637,647.4,642.2,35.8114,-118.6364,0.36215415
Fresno,KK-08,418,22,10.7,63.43,50,5522.16,7.39,19.86,640.2,644.6,642.4,36.4042,-120.1341,0.364130435
Monterey,KK-08,196,10,19.69,47.15,40,6087.61,13.58,3.06,652.6,632.9,642.75,36.8019,-121.7872,0.367588933
Tulare,KK-08,2208,114,14.41,53.21,92,4960.52,9.63,9.87,642,644.1,643.05,35.8114,-118.6364,0.37055336
Riverside,KK-08,1255,55,11.32,44.26,165,4880.04,15.27,16.1,642.6,643.8,643.2,38.4464,-122.1945,0.372035573
Sonoma,KK-06,1469,78,20.97,80.26,65,6538.42,14.03,43.5,639.4,647.1,643.25,38.3463,-123.0595,0.372529644
Los Angeles,KK-08,7114,332,34.59,82.57,680,4925.66,10.24,45.04,638.9,647.9,643.4,34.0019,-118.2106,0.374011858
Tehama,KK-08,1962,98,24.42,67.75,170,5204.69,9.48,18.2,641.7,645.1,643.4,40.3409,-121.9174,0.374011858
San Mateo,KK-08,7761,361,6.49,44.48,658,4907.41,15.03,15.49,644.2,642.8,643.5,37.2658,-122.3007,0.375
Siskiyou,KK-08,216,14,9.42,48.88,47,5923.45,9.78,0.93,652.7,634.3,643.5,41.5815,-121.9151,0.375
Kern,KK-08,224,10,7.14,58.04,31,4741.96,13.19,7.59,633.6,653.8,643.7,35.1779,-119.5472,0.376976285
Stanislaus,KK-08,7887,391,16.4,57.07,1004,4954.02,12.22,29.09,645.7,641.7,643.7,37.8272,-120.9144,0.376976285
Tuolumne,KK-08,752,39,11.71,34.08,0,5500.11,14.08,0.13,652.3,636.1,644.2,38.0957,-120.1285,0.381916996
San Mateo,KK-08,9328,537,7.49,39.04,1719,5360.52,25.49,50.86,644.5,643.9,644.2,37.2658,-122.3007,0.381916996
El Dorado,KK-08,548,32,7.66,31.39,35,5685.64,14.87,11.5,652.1,636.7,644.4,38.8026,-120.8946,0.383893281
Merced,KK-08,104,5,32.38,49.52,19,5594.2,9.97,13.46,649.5,639.4,644.45,37.2965,-120.3789,0.384387352
