county,grades,students,teachers,calworks,lunch,computer,expenditure,income,english,read,math,average_score,lat,lng,normalized_average_score
Kern,KK-08,3548,170,3.26,14.85,335,4522.38,16.29,0.37,658.3,667,662.65,35.1779,-119.5472,0.564229249
Shasta,KK-08,868,45,16.59,29.84,78,4965.81,13.25,0.58,662.4,663,662.7,40.6722,-121.4228,0.56472332
Placer,KK-08,507,26,13.2,37.09,60,5358.33,14.01,0,667.1,658.4,662.75,39.208,-120.8345,0.565217391
Siskiyou,KK-08,822,46,8.07,25.61,105,5784.62,14.16,0.85,668.3,657.5,662.9,41.5815,-121.9151,0.566699605
Sonoma,KK-06,1792,88,3.12,20.93,143,5072.7,15.77,5.52,667.4,659.3,663.35,38.3463,-123.0595,0.571146245
Madera,KK-08,1202,62,12.08,35.85,190,5556.04,14.48,0,664.3,662.6,663.45,36.8799,-120.1147,0.572134387
Humboldt,KK-06,515,27,16.12,26.21,58,5190.31,14.21,0,660.2,666.8,663.5,40.3987,-123.9474,0.572628458
El Dorado,KK-08,1354,66,12.04,36.48,263,5211.49,15.17,2.44,666.4,661.3,663.85,38.8026,-120.8946,0.576086957
Sonoma,KK-06,1252,65,9.45,43.22,113,5284.16,12.58,20.77,659.4,668.3,663.85,38.3463,-123.0595,0.576086957
Tehama,KK-08,823,46,13.85,55.29,127,5331.92,10.55,2.19,657.7,670.1,663.9,40.3409,-121.9174,0.576581028
Sonoma,KK-06,2231,114,2.92,13.37,258,5599.61,16.96,13.63,666.2,661.8,664,38.3463,-123.0595,0.57756917
Sonoma,KK-06,271,14,4.47,25.43,81,4881.9,17.71,13.28,668.7,659.3,664,38.3463,-123.0595,0.57756917
Placer,KK-08,309,15,4.21,32.69,85,4700.43,16.27,1.94,671.3,657,664.15,39.208,-120.8345,0.579051383
Santa Cruz,KK-06,3005,159,8.62,33.81,308,5650,17.9,23.06,666.7,661.6,664.15,36.8722,-121.8101,0.579051383
Humboldt,KK-08,966,47,20.96,47.31,114,5318.24,11.83,0.62,674,654.6,664.3,40.3987,-123.9474,0.580533597
San Bernardino,KK-08,7710,327,4.47,15.93,814,4709.05,18.62,3.26,663.4,665.4,664.4,34.176,-114.264,0.581521739
Placer,KK-08,762,35,10.81,30.37,54,5143.19,12.43,0,663.1,665.8,664.45,39.208,-120.8345,0.58201581
El Dorado,KK-08,1708,89,8.49,29.04,206,5133.01,15.17,2.22,665.5,663.9,664.7,38.8026,-120.8946,0.584486166
Orange,KK-08,9850,489,3.34,30.64,1113,5081.46,20.88,18.56,663.7,665.8,664.75,33.818,-117.8104,0.584980237
Glenn,KK-08,129,5,9.3,50.39,10,4016.42,10.64,6.2,667.6,662.3,664.95,39.6002,-122.5376,0.586956522
San Mateo,KK-08,10619,565,2.54,28.38,1150,5374.05,25.03,18.46,665.9,664,664.95,37.2658,-122.3007,0.586956522
Santa Barbara,KK-06,4521,236,3.71,31.08,494,5427.55,16.76,32.07,666.8,663.4,665.1,34.9312,-119.6148,0.588438735
San Bernardino,KK-08,580,29,11.9,30.17,114,5179.64,15.3,3.97,656.2,674.2,665.2,34.176,-114.264,0.589426877
Sonoma,KK-06,2569,138,5.49,24.75,326,5400,17.37,15.34,669.8,660.9,665.35,38.3463,-123.0595,0.590909091
Santa Clara,KK-08,6022,286,6.39,36,756,5726.15,22.1,27.67,663.9,667.4,665.65,37.3116,-121.9357,0.593873518
Santa Barbara,KK-08,670,33,0.42,13.87,47,5003.87,22.84,12.54,670.3,661.5,665.9,34.9312,-119.6148,0.596343874
San Diego,KK-08,14708,700,13.53,45.72,1962,4969.51,18.32,12.68,664.5,667.4,665.95,32.8711,-116.4247,0.596837945
Orange,KK-08,6601,305,1.2,15.09,706,4747.3,25.03,6.91,668,664,666,33.818,-117.8104,0.597332016
Santa Barbara,KK-08,675,33,0,31.85,87,4543.31,21.96,14.96,668.7,663.4,666.05,34.9312,-119.6148,0.597826087
Santa Cruz,KK-08,2458,124,6.02,24.6,193,5229.59,18.8,11.27,666.9,665.3,666.1,36.8722,-121.8101,0.598320158
Glenn,KK-08,144,8,4.17,44.44,14,4507.35,10.64,9.72,671.9,660.4,666.15,39.6002,-122.5376,0.598814229
Sonoma,KK-08,573,29,6.99,15.21,48,5302.63,17.51,3.32,671,661.3,666.15,38.3463,-123.0595,0.598814229
Nevada,KK-08,721,35,1.85,18.49,82,5545.61,18.59,0.69,668.8,664.1,666.45,39.4443,-120.736,0.601778656
Kings,KK-08,992,46,3.73,22.88,160,4615.91,11.12,5.14,671.2,661.9,666.55,36.4026,-119.7208,0.602766798
San Diego,KK-08,8432,360,6.39,22.98,0,5397.69,14.1,4.97,663.7,669.5,666.6,32.8711,-116.4247,0.60326087
Lassen,KK-08,244,11,15.57,40.16,15,5118.37,12.64,6.97,672.1,661.2,666.65,40.893,-121.1781,0.603754941
Ventura,KK-08,7116,356,2.6,13.28,785,5008.07,20.94,8,667.5,665.8,666.65,34.258,-118.6662,0.603754941
Tuolumne,KK-08,830,46,10.41,32.61,95,4906.03,14.18,0.48,662.1,671.3,666.7,38.0957,-120.1285,0.604249012
Siskiyou,KK-06,160,10,13.38,53.5,38,6870.35,11.83,2.5,666.9,666.8,666.85,41.5815,-121.9151,0.605731225
Sonoma,KK-06,1588,83,6.8,20.58,220,5301.72,18.67,3.84,671.3,662.4,666.85,38.3463,-123.0595,0.605731225
San Diego,KK-08,2272,108,4.05,16.07,307,5182.37,17.33,1.32,667.7,666.6,667.15,32.8711,-116.4247,0.608695652
Sonoma,KK-08,1425,71,5.09,19.83,65,4999.47,17.51,4.91,669.8,664.6,667.2,38.3463,-123.0595,0.609189723
Humboldt,KK-06,245,12,8.98,13.06,30,6732.07,15.57,0,672.2,662.7,667.45,40.3987,-123.9474,0.611660079
Kern,KK-08,1349,65,2,8.67,259,4612.99,15.57,0.22,667,667.9,667.45,35.1779,-119.5472,0.611660079
Tulare,KK-08,400,22,13.8,29.86,65,5478.85,15.75,0,669.2,666,667.6,35.8114,-118.6364,0.613142292
Santa Clara,KK-08,4632,245,7.04,23.64,637,5666.71,20.47,17.85,669.4,666.6,668,37.3116,-121.9357,0.617094862
Kern,KK-08,224,9,5.36,35.27,15,4742.51,9.71,4.46,660.5,675.7,668.1,35.1779,-119.5472,0.618083004
Kings,KK-08,576,31,3.99,28.12,92,4907.39,11.12,9.55,665.8,671,668.4,36.4026,-119.7208,0.621047431
San Diego,KK-08,451,25,8.65,11.75,75,5700.4,16.32,3.99,672.7,664.5,668.6,32.8711,-116.4247,0.623023715
San Diego,KK-06,900,50,2.1,24.34,145,5191.83,21.97,20.67,668.8,668.5,668.65,32.8711,-116.4247,0.623517787
Tulare,KK-08,118,5,8.33,51.67,10,4451.26,8.93,7.63,668.5,669.1,668.8,35.8114,-118.6364,0.625
San Diego,KK-08,1457,73,5.98,42.96,0,5627.53,20,27.45,666.2,671.6,668.9,32.8711,-116.4247,0.625988142
Orange,KK-06,4734,232,2.61,19.37,586,4922.94,18.83,10.86,665.5,672.4,668.95,33.818,-117.8104,0.626482213
Los Angeles,KK-08,3303,146,4.66,16.95,379,4969.38,18.12,5.03,666.1,672.1,669.1,34.0019,-118.2106,0.627964427
Los Angeles,KK-06,6055,286,5.61,30.09,540,4829.72,23.67,14.24,668.9,669.7,669.3,34.0019,-118.2106,0.629940711
Marin,KK-08,424,23,3.54,15.33,39,6716.69,22.14,0.24,680.9,657.7,669.3,38.0605,-122.7008,0.629940711
Santa Clara,KK-08,2801,139,5.03,23.1,615,5205.94,20.55,2.07,673.3,665.4,669.35,37.3116,-121.9357,0.630434783
Tehama,KK-08,187,9,17.55,44.68,37,4357.83,9.48,8.56,664.6,674.1,669.35,40.3409,-121.9174,0.630434783
Humboldt,KK-08,129,6,13.95,27.13,17,5195.92,11.83,0,670.1,669.5,669.8,40.3987,-123.9474,0.634881423
San Diego,KK-06,188,9,6.38,36.7,41,6002.07,18.8,4.79,673.2,666.5,669.85,32.8711,-116.4247,0.635375494
Shasta,KK-08,1212,65,22.19,46.12,116,5090.59,10.55,3.96,669.2,670.7,669.95,40.6722,-121.4228,0.636363636
Kern,KK-08,2596,135,3,19.53,249,5112.39,15.52,1.58,669.2,670.8,670,35.1779,-119.5472,0.636857708
Santa Clara,KK-08,4925,253,3.82,12.17,753,5287.35,21.63,3.59,672.8,668.6,670.7,37.3116,-121.9357,0.643774704
Orange,KK-08,6257,288,2.16,15.51,930,4889.48,21.1,8.73,671.2,671.3,671.25,33.818,-117.8104,0.649209486
El Dorado,KK-08,868,45,4.72,19.01,122,5118.13,15.17,0,674.6,668,671.3,38.8026,-120.8946,0.649703557
El Dorado,KK-08,3787,186,3.25,8.34,934,5119.12,19.12,0.26,674.9,668.3,671.6,38.8026,-120.8946,0.652667984
Placer,KK-08,6423,306,2.93,14.27,855,4792.21,17.62,1.45,671.4,671.8,671.6,39.208,-120.8345,0.652667984
El Dorado,KK-08,678,34,2.51,15.93,47,5450.1,15.17,0.15,677.6,665.7,671.65,38.8026,-120.8946,0.653162055
Humboldt,KK-08,162,8,16.96,33.92,23,5210.72,10.64,0,679.8,663.6,671.7,40.3987,-123.9474,0.653656126
Los Angeles,KK-06,8529,407,2.19,11.7,834,4715.45,20.74,3.71,668.9,674.6,671.75,34.0019,-118.2106,0.654150198
Placer,KK-08,1862,89,2.83,21.09,231,4632.07,21.57,0.27,673.1,670.7,671.9,39.208,-120.8345,0.655632411
Placer,KK-08,1452,70,2.43,10.41,183,5028.56,17.66,0,679.6,664.2,671.9,39.208,-120.8345,0.655632411
Sonoma,KK-06,155,8,0.65,12.26,32,5695.47,17.71,4.52,672.3,671.6,671.95,38.3463,-123.0595,0.656126482
San Mateo,KK-08,2536,127,2.03,2.03,343,4504.29,27.82,2.44,676.1,668,672.05,37.2658,-122.3007,0.657114625
Nevada,KK-08,567,30,4.9,29.02,103,5156.44,18.59,0,673.9,670.2,672.05,39.4443,-120.736,0.657114625
Madera,KK-08,953,52,7.99,33.92,135,5433.51,14.26,0,668.1,676.5,672.3,36.8799,-120.1147,0.65958498
San Luis Obispo,KK-08,296,15,5.59,25.99,42,5254.63,22.76,5.41,674.6,670.1,672.35,35.5173,-120.5211,0.660079051
Lassen,KK-08,198,9,2.45,12.75,24,4593.2,12.64,0,672.7,672.2,672.45,40.893,-121.1781,0.661067194
Fresno,KK-08,218,10,2.24,25.11,49,4320.68,11.24,6.42,669.4,675.7,672.55,36.4042,-120.1341,0.662055336
Sonoma,KK-06,734,36,2.02,12.82,117,4920.78,16.96,6.54,676.1,669.3,672.7,38.3463,-123.0595,0.663537549
Sonoma,KK-06,189,11,2.07,32.12,50,6905.87,17.71,14.29,679.1,667,673.05,38.3463,-123.0595,0.666996047
San Mateo,KK-08,2528,138,1.34,2.45,482,5729.9,25.62,3.68,675,671.5,673.25,37.2658,-122.3007,0.668972332
El Dorado,KK-08,2987,154,2.04,11.18,290,4825.2,18.73,0.5,676.1,670.5,673.3,38.8026,-120.8946,0.669466403
Placer,KK-08,208,11,9.39,32.86,21,5388.17,13.44,0,680.5,666.6,673.55,39.208,-120.8345,0.671936759
San Diego,KK-08,379,23,2.9,22.16,29,5133.83,15.18,22.69,670.5,676.6,673.55,32.8711,-116.4247,0.671936759
El Dorado,KK-08,145,9,6.21,0,27,5346.16,19.12,0,670.5,677.3,673.9,38.8026,-120.8946,0.675395257
Nevada,KK-08,706,37,2.59,23.05,103,4789.31,13.71,0.14,676,672.5,674.25,39.4443,-120.736,0.678853755
Sonoma,KK-08,878,47,1.38,15.75,105,5329.78,17.51,2.73,681,669.8,675.4,38.3463,-123.0595,0.690217391
Humboldt,KK-08,594,33,12.27,25.38,75,5371.17,11.83,1.68,683,668.4,675.7,40.3987,-123.9474,0.693181818
Trinity,KK-08,139,7,20.86,66.91,40,5771.38,13.27,0,680.1,672.2,676.15,40.6262,-123.4689,0.697628458
Nevada,KK-08,2089,102,2.52,14.04,318,4993.63,16.36,0.14,673.8,679.3,676.55,39.4443,-120.736,0.701581028
Placer,KK-08,326,16,4.29,11.04,42,4854.04,18.63,0,673.3,679.9,676.6,39.208,-120.8345,0.702075099
Ventura,KK-08,516,21,0.97,27.71,50,4392.68,23.73,11.05,680.5,673.2,676.85,34.258,-118.6662,0.704545455
Trinity,KK-08,449,25,12.73,48.48,50,5884.43,12.93,0,672.8,681.1,676.95,40.6262,-123.4689,0.705533597
Shasta,KK-08,297,15,2.36,4.04,70,4273.99,13.91,0,679,675.5,677.25,40.6722,-121.4228,0.708498024
Nevada,KK-08,1579,80,5.56,21.78,165,5146.78,15.43,0.06,678.5,677.4,677.95,39.4443,-120.736,0.71541502
Humboldt,KK-08,383,20,6.01,10.18,49,5351.52,15.38,0,682.9,673.2,678.05,40.3987,-123.9474,0.716403162
Sonoma,KK-08,81,5,3.61,0,14,7667.57,22.53,0,685.3,671.5,678.4,38.3463,-123.0595,0.71986166
San Diego,KK-06,5259,262,2.4,19.09,701,5281.71,23.81,15.06,679,678.6,678.8,32.8711,-116.4247,0.723814229
Marin,KK-08,1960,108,1.94,3.73,223,5368.5,24.6,1.48,684.1,674.7,679.4,38.0605,-122.7008,0.729743083
Santa Clara,KK-06,151,8,2.65,8.61,31,6429.26,36.17,2.65,676.8,682.2,679.5,37.3116,-121.9357,0.730731225
Los Angeles,KK-08,946,49,2.18,6.54,310,5387.46,33.46,1.48,683.1,676.2,679.65,34.0019,-118.2106,0.732213439
Sonoma,KK-06,2707,141,5.14,19.23,300,5235.77,20.48,4.47,678.7,680.8,679.75,38.3463,-123.0595,0.733201581
Monterey,KK-08,919,46,1.05,0,141,4829.9,20.13,0.33,680.2,679.4,679.8,36.8019,-121.7872,0.733695652
Sonoma,KK-06,945,46,4.24,10.65,216,5088.71,19.35,2.54,685.7,674.4,680.05,38.3463,-123.0595,0.736166008
Santa Clara,KK-08,738,39,0,0.68,220,5390.12,36.17,0.54,684.2,676.7,680.45,37.3116,-121.9357,0.740118577
Sonoma,KK-06,164,10,2.35,12.94,35,6588.43,22.86,11.59,682.8,679.8,681.3,38.3463,-123.0595,0.748517787
Sonoma,KK-06,167,10,0.52,11.46,29,6196.69,17.71,11.38,680.8,681.8,681.3,38.3463,-123.0595,0.748517787
Stanislaus,KK-08,125,7,4,14.4,25,4645.41,14.18,0,688.5,674.7,681.6,37.8272,-120.9144,0.751482213
Marin,KK-08,1091,62,0.54,0.54,113,6489.93,41.09,1.37,689.8,674,681.9,38.0605,-122.7008,0.75444664
Santa Barbara,KK-06,134,6,0.75,3.73,27,5094.96,21.96,2.24,681.8,682.5,682.15,34.9312,-119.6148,0.756916996
Sonoma,KK-08,600,32,2.69,29.32,55,4841.96,16.06,5.33,680,684.9,682.45,38.3463,-123.0595,0.759881423
Marin,KK-08,1803,99,1.92,3.62,283,6315.31,25.74,2.77,685.6,679.5,682.55,38.0605,-122.7008,0.760869565
Santa Cruz,KK-06,158,7,13.75,16.25,15,5399.38,20.47,0,687.3,678,682.65,36.8722,-121.8101,0.761857708
San Mateo,KK-08,2392,127,1.42,6.27,439,5429.47,35.81,17.73,682.4,684.3,683.35,37.2658,-122.3007,0.768774704
Shasta,KK-08,526,28,3.99,11.41,33,5644.29,13.57,0,684.5,682.3,683.4,40.6722,-121.4228,0.769268775
Santa Cruz,KK-06,141,6,10.07,9.35,44,6060.26,20.09,0,680.4,688.2,684.3,36.8722,-121.8101,0.778162055
Santa Cruz,KK-06,235,12,4.66,5.93,30,5319.55,18.28,0.43,688.5,680.2,684.35,36.8722,-121.8101,0.778656126
Contra Costa,KK-08,3280,158,2.75,7.86,406,4819.9,25.24,6.07,682.2,687.4,684.8,38.0446,-122.185,0.783102767
Santa Barbara,KK-06,1254,57,1.58,12.5,0,5208.23,25.06,10.13,686.2,683.7,684.95,34.9312,-119.6148,0.78458498
Marin,KK-08,948,53,1.79,1.9,155,5859.96,30.63,3.38,692.2,679.9,686.05,38.0605,-122.7008,0.795454545
Santa Clara,KK-08,15228,708,1.72,4.69,2232,4962.74,27.48,8.65,683.1,690.3,686.7,37.3116,-121.9357,0.80187747
Santa Cruz,KK-06,81,4,13.25,20.48,21,7614.38,30.84,12.35,693.8,681.3,687.55,36.8722,-121.8101,0.81027668
Santa Clara,KK-08,2768,141,0.45,2.79,540,5566.47,34.16,1.59,691.6,686.6,689.1,37.3116,-121.9357,0.825592885
Santa Barbara,KK-06,535,31,0.08,0.72,84,7039.95,43.23,1.5,693.5,688.6,691.05,34.9312,-119.6148,0.84486166
San Diego,KK-06,2542,146,0.83,9.68,404,6604.06,27.95,10.39,687.7,695,691.35,32.8711,-116.4247,0.847826087
San Mateo,KK-08,1940,111,0.41,3.92,265,6180.15,49.94,6.13,693.7,690.1,691.9,37.2658,-122.3007,0.85326087
Marin,KK-08,1059,65,0.85,1.42,272,6460.66,55.33,2.27,695.9,692,693.95,38.0605,-122.7008,0.873517787
Marin,KK-08,2340,132,1.58,2.44,403,6415.35,35.48,2.48,693.6,694.9,694.25,38.0605,-122.7008,0.876482213
Contra Costa,KK-08,3469,172,0,0.17,496,5230.88,34.3,0.89,697.9,691.7,694.8,38.0446,-122.185,0.881916996
San Diego,KK-06,2106,115,1.71,2.61,300,5838.17,38.63,2.42,695.1,695.3,695.2,32.8711,-116.4247,0.885869565
San Mateo,KK-08,478,32,0,0,112,7711.51,35.34,3.77,701.3,689.3,695.3,37.2658,-122.3007,0.886857708
Contra Costa,KK-08,1885,98,0.05,0.3,241,5592.77,31.05,1.96,697.4,695.7,696.55,38.0446,-122.185,0.899209486
Contra Costa,KK-08,2422,139,0,0.12,466,5933.15,40.26,0.58,699.1,697.3,698.2,38.0446,-122.185,0.915513834
San Mateo,KK-08,1318,87,0.15,0,412,7593.41,35.81,2.81,695.4,701.1,698.25,37.2658,-122.3007,0.916007905
Santa Barbara,KK-06,220,12,0.45,0,22,6500.45,43.23,1.36,693.3,703.6,698.45,34.9312,-119.6148,0.91798419
San Mateo,KK-08,687,44,0.3,0,209,7217.26,50.68,1.16,698.3,699.9,699.1,37.2658,-122.3007,0.924407115
Santa Clara,KK-08,2341,124,0.17,0.6,286,5392.64,40.4,2.05,698.9,701.7,700.3,37.3116,-121.9357,0.936264822
San Mateo,KK-08,984,59,0.1,3.56,195,7290.34,28.72,6,700.9,707.7,704.3,37.2658,-122.3007,0.975790514
Santa Clara,KK-08,3724,208,1.07,1.5,721,5741.46,41.73,4.73,704,709.5,706.75,37.3116,-121.9357,1
Ventura,KK-08,441,20,3.56,37.19,45,4402.83,23.73,24.26,648.3,641.7,645,34.258,-118.6662,0.389822134
Yuba,KK-08,101,5,11.88,59.41,14,4776.34,9.95,2.97,667.9,676.5,672.2,39.2053,-121.2928,0.658596838
Yuba,KK-08,1778,93,6.92,47.57,313,5993.39,12.5,5.01,660.5,651,655.75,39.2053,-121.2928,0.496047431
